zipcode,totalstops,BLACK,HISP,POVER,POPZIP
11691,1234,49.0,27.1,26.1,60035
11206,1054,25.4,45.3,37.1,81677
11212,1002,86.6,14.1,34.5,84500
10304,930,29.2,25.5,20.1,42193
10456,917,41.7,58.9,40.3,86547
11236,888,85.6,7.2,13.2,93877
11201,856,12.8,13.6,14.5,51128
10459,774,30.5,70.4,40.2,47308
10302,758,20.3,38.8,25.6,19088
10303,757,36.4,38.7,21.9,26337
10029,741,30.3,47.8,28.0,76003
11419,739,17.8,16.9,16.7,47211
11420,734,28.3,23.8,9.9,44354
11203,634,90.4,6.2,15.6,76174
11226,604,76.1,15.2,21.4,101572
10452,593,33.2,67.8,37.4,75371
11207,579,66.6,33.0,32.5,93386
11221,561,55.7,41.8,27.4,78895
10301,522,24.1,27.1,20.7,39706
11432,522,16.4,26.4,22.3,60809
